N_effort,Enquiry,Interface,File,Input,AFP,Added,Duration,PDR_AFP,Output,Effort
0.454740428214182,2.6434326229654794,-0.2852599292446399,0.1750237957074958,1.2491520698132208,1.0397243108900454,1.3771181591017974,-0.6429749173506781,-0.5846556745973553,0.6622805336657984,7490
-0.0180688573715154,-0.5564260029855569,0.1973442957132768,0.4844589212810611,-0.3254046834001493,-0.2143990692429562,-0.3731614289123672,1.1282163386915531,0.3497295508298051,-0.4958151570327869,4150
-0.510979615577922,-0.3190477666390408,0.12671928718285,-0.2343826781282981,-0.2924727774505886,-0.3164678899320023,-0.2380605923461463,0.0382524888194108,-0.6094623619980764,-0.3646246295708377,668
-0.0533172142909281,-0.5089503557162537,-0.2852599292446399,-0.2486642993086165,-0.0331340180977982,-0.22195972262733,-0.3514487944642245,-0.6429749173506781,0.0851248852221137,-0.3872436860297945,3238
-0.0949357561957769,1.2571437227018256,-0.2852599292446399,-0.3391145667839664,-0.1525121771649557,-0.1841564557054611,-0.4346805598487713,0.5832344137554819,-0.1215975097838952,-0.5139104021999523,2994
-0.3781966485481663,-0.3570282844544834,-0.2852599292446399,-0.4343253746527557,-0.2142595008203819,-0.3816785253722262,-0.4346805598487713,-0.6429749173506781,0.3579984466300456,-0.5139104021999523,1333
-0.3314819586549687,-0.366523413908344,-0.2852599292446399,-0.2915091628495717,-0.2945310215724361,-0.3854588520644131,-0.4346805598487713,-0.3704839548826426,0.7052920702401406,-0.5139104021999523,1607
-0.4416153790698407,-0.5184454851701144,-0.2264057554692841,-0.4343253746527557,-0.3439288804967771,-0.3684473819495721,-0.2899296635278204,-0.2342384736486248,0.0107048230199504,-0.0253387826864865,1158
-0.3934850925132128,-0.0341938830232215,-0.049843234143217,-0.3676778091446032,-0.3439288804967771,-0.3504908301616843,-0.3369737048321294,-0.3704839548826426,-0.0885219265829339,-0.4098627424887512,1243
-0.0303845483433584,-0.5849113913471388,-0.2852599292446399,-0.4343253746527557,-0.263657359744723,-0.4109760572366747,-0.4346805598487713,-0.2342384736486248,4.384950701347099,-0.4822437231574128,3372
0.8383671240037748,-0.3570282844544834,-0.1086974079185727,-0.03920052199728,0.0862441409693592,-0.0206573262683779,0.1201978760482071,0.0382524888194108,0.8375944030439861,0.0696612544411317,10200
-0.3149194776928349,-0.4329893200853685,-0.2852599292446399,-0.4010015918986794,-0.2780650685976558,-0.3967998321409738,-0.4045241231152399,-0.2342384736486248,1.1270057560523987,-0.4912913457409955,1704
-0.1760494450103292,-0.0436890124770822,0.209115130468348,-0.4343253746527557,-0.3439288804967771,-0.2720490512988063,-0.1765414614097422,-0.2342384736486248,0.1264693642233155,0.0063278963560528,2640
-0.1315997097786199,-0.0721744008386641,-0.2028640859591418,-0.2439037589151771,-0.3171717069127591,-0.293785929778881,-0.23202930499944,2.3544256697977133,0.5977964248370159,-0.2696245924432194,3348
-0.4903119042918407,0.1841940944155731,-0.2852599292446399,-0.3153118648167691,0.0841858968475116,-0.0905933700738355,-0.3888427760138035,-0.2342384736486248,-0.8327225486045662,-0.3962913086133772,676
-0.4765806166565674,0.374096683492786,-0.1675515816939284,-0.2343826781282981,-0.2101430125766868,-0.211563824223816,-0.22237924524471,-0.7792203985846959,-0.6838824242002396,-0.3103388940693415,911
-0.2522085455028757,-0.5564260029855569,-0.1086974079185727,-0.4010015918986794,-0.3192299510346066,-0.4204268739671419,-0.3719551714430259,-0.3159857623890354,3.9384303281341206,-0.446053232823082,2496
-0.4397751034073814,-0.4329893200853685,-0.2264057554692841,-0.1344113298660693,-0.1422209565557179,-0.2805547863562269,-0.2416793647541701,0.1744979700534286,-0.4606222375937499,-0.4234341763641253,1171
-0.1055527311715037,-0.4139990611776472,-0.2852599292446399,-0.1582140318332667,-0.1278132477027851,-0.2285752943386571,-0.4117616679312874,0.5832344137554819,0.2174272180259594,-0.3872436860297945,3532
-0.5312226478649744,-0.1861159542849918,-0.2852599292446399,-0.4343253746527557,-0.2862980450850459,-0.3873490154105066,-0.4346805598487713,-1.0517113610527316,-0.5019667165949517,-0.5139104021999523,436
